Unnamed: 0,MB,glutamate,pyruvate,alanine,acetate,succinate,asparagine,leucine,glcnac,no
C2R13,13.546994739673565,,,,,3.826084230509237,,,,
C2R21,,,,,,5.699728251817405,,,,
C3M06,,,,,,,,,,0.5623249865068115
C3M08,,,7.075468991307768,,,4.806523825901103,,0.543461418293541,,0.4462346582937737
C3M10,,,,,,5.433145532715711,,,,
C3R10,6.016705521581708,,,,,,0.4512944195256724,,,
C3R12,8.202424378580837,,1.251939403788358,,,,,,5.499083156784553,0.605084534700423
D2M19,,1.8124712540006336,,,,,,,,
D2R04,4.06512686344006,,,,,,,,,
D2R18,5.459243717265722,,,,,7.427080964789866,,,1.833922029138136,
D2R19,7.763967907300613,,,,,,,,,
D3M06,9.805693438384576,,,,,1.2326517430133637,,,,
D3R02,,,,,,,,0.4623547088205681,,
E2M05,,,,,,1.0162642894092495,,0.7401647277049299,,
E2M18,7.752913265964819,6.589107038229431,8.747220936771887,,,,,,9.486981925377956,
E2R12,5.297360706721347,,,8.480921321165418,1.9842060723910624,,,0.3978098716343958,,
E3M02,4.342342738863461,,,,3.032465163169148,,,,,
F1R01,,,,,,,,,,
F1R02,,,,,,,,,,0.2283844144948985
F1R06,,,7.569721827574473,,,6.565962224600485,,,,0.3141941401737093
F2M12,,,,,,,,,,
F2R05,6.5556298695094135,,,,,,,,,0.4347983332054985
F2R10,5.677201204774564,,6.8740190410135416,,,,,,,
F2R13,6.897583995390206,,,3.9424550663859175,,,,,,
F2R14,,,,,,,,,,
F2R15,7.255677767039878,,,,,,0.6676759898317058,0.9726121071373062,11.948963456885869,
F3M06,,,,,,,,,,
F3M07,13.246284266764572,,,,,,,,,0.4065984835211303
F3M13,,,,,,,,,,0.5196212293847691
G1M02,,,,,,,,,,
G1M14,5.662067649973978,,,,,1.9700131576317603,,,,
G1M15,,,,,,0.1783609194112766,,,,
G2M01,6.089778135703367,,2.388607910861181,,,,,,,
G2M05,,,2.6090416223539936,,1.1941629453160023,0.4685976430944241,,,6.0835364022893925,0.2532515081109743
G2M07,,,,,,,,,,
G2R07,5.644148097940296,,,,,0.6426306640491223,,,,
G2R13,6.395693641544132,,,3.07446483274762,,,,,,
G2R14,6.297373819643853,,,,,,,,,
G3M07,5.832751223679129,,,,,,,,,
G3M13,9.907634458884631,,,6.779098174459919,,,,0.8447711270704021,,0.1601345313278359
