Unnamed: 0,MB,glutamate,glcnac,pyruvate,alanine,acetate,succinate,asparagine,leucine,no
C3M10,7.628654134427897,,0.5944927183156206,,0.2403916821434662,1.5888867331565173,,,,
C3R10,0.2122222983945214,,,,,,,0.0962974493017765,0.0851580025758602,
C3R12,5.7127003565438725,,,,0.1264196270360346,0.155632856901164,,,,0.0310722383686673
D2M19,2.932085676007419,,0.2139140422498865,,,,0.1315943449527611,0.719250313586625,,0.1504595607034683
D2R04,3.8658520250725856,,0.5103226029133104,2.5195208444463075,1.496038886331299,1.382710732648121,,,,0.4232622721144384
D2R18,2.604519438698662,,,,,,,,,
D2R19,2.2255042563364307,,,,0.0395721962966594,,,,,
D3M06,,,,1.7085300978170868,,,,1.8398274013252596,,
D3R02,,,0.1589188610989815,,,,,,,0.2263681202072415
E2M05,,,,,2.859941958895225,,,,,
E2M18,5.86377747414594,1.145518280803944,,3.382421859915883,,,1.9728607844850088,,,0.602602889955076
E2R12,,,0.1824076299476842,,0.1434967947564019,,,0.1524715409084229,0.5919985038226553,0.3413410897412363
E3M02,2.010707594373577,,0.9379926976651504,,,,1.752011520208261,,,0.3590292325245736
F1R01,,,,,,0.0755028778103523,,0.3467704535469913,0.8396435668933934,0.1137384060059472
F1R02,,,,2.295766681015412,,,,,,
F1R06,9.150973797812378,,0.6711525493169945,,,2.8048085270602843,4.029069339686734,,,0.1121669374080578
F2M12,0.8388627754793616,,,0.2221759548448733,,,,0.2040055601631603,,0.2907823155178883
F2R05,2.726318075980127,,,1.1135176431295732,,,1.905166379202416,,,
F2R10,,3.014431322162254,,,2.3398026970717543,1.945913815481381,,,,
F2R13,2.366659875373303,1.7520897791571513,,,,2.073468659088644,2.024913158525491,,,
F2R14,,1.9649211445784327,0.1319340042633478,2.116191735840422,1.6594819438611093,1.4873019264557592,,0.1878626043088946,0.2133546397160418,0.4396326917263312
F2R15,6.985904445594074,,,,,,,,,
F3M06,,,0.2106403033143597,1.313235299027676,,1.3944960895679033,,,,0.2900037137351159
F3M07,5.203071685480615,,,,0.8030589498312044,0.8621302085073073,0.5622247716838897,0.1402248418307691,0.069884880885817,0.1971381173262343
F3M13,,,0.2380479938406495,1.852355745544388,,1.6278348819460398,,0.210331041966835,1.644630339058005,0.4744157332358863
G1M02,,,,,,0.0774022846604537,0.1328421990949413,0.1053915997566257,,
G1M14,,,,2.2852912760181776,1.9789310141697487,,,,,2.491944280168524
G1M15,6.27650173442507,,,,0.2073317582225977,,2.5459871218461827,0.1327139412706386,,
G2M01,5.279937800915419,,5.04489174929497,3.0314993353017394,3.015463069314257,1.979999925042692,,,2.13542334852448,
G2M05,,,,,,,,,,
G2M07,,,,,0.618521932182924,,,,,
G2R07,2.902727502837077,,,,,,,,0.1296025649002062,
G2R13,1.778673533611272,,,,0.938294462054494,,1.2970119581184576,,,
G2R14,,,,,,,1.8884544163263568,,,
G3M07,3.739490230134459,,,,3.562182571142196,,,3.808506376295318,,
G3M13,,,2.4584333500420343,1.2151568804132895,,2.133053588230046,,,,
