,pyruvate,alanine,acetate,succinate,asparagine,leucine,glcnac,no
E2R12,,,,,,,,
E3M02,3.470959614032772,,3.9058616627102793,7.690441255017102,,,,
F1R01,,,,,,,,
F1R02,3.0150118247988775,,,,,,,
F1R06,6.007656086580856,3.5447437538747932,6.04120904774432,11.364360478294277,,,,
F2M12,,,,,,,,
F2R05,3.8283321327061195,4.3573434178937855,7.552010014348763,9.120909850725514,6.586664816954131,6.074670776123562,,
F2R10,,,,,,,,
F2R13,3.974008664541954,3.6084695524477763,6.840765067617112,7.660201008958217,4.442593910955996,8.277706632468096,,
F2R14,4.612878859504092,3.5818745003425922,4.7648435448499695,6.127679688560996,,,,
F2R15,5.300516685743304,,,5.1354553568497865,,,14.423658813376926,
F3M06,4.075948995841261,2.328961129499493,6.327123684831813,,,,,
F3M07,,,,,,,,
F3M13,8.327136733053987,2.9840502249892245,6.721216058594788,,,,,
G1M02,,,,,,,8.851692511701886,
G1M14,1.8269379598884465,,,3.870856274929742,,,,
G1M15,3.990899287089078,,,,,,7.205948078516653,
G2M01,,,,4.105340085736281,,,,
G2M05,2.4551812458699036,,,,,,6.432362786707875,
G2M07,3.9703749263429957,,,,,,,
G2R07,,,,,,,,
G2R13,2.7916855898628015,3.9380574865042677,4.578636713349678,7.312601880844574,3.8048619898781326,3.63815420940149,,
G2R14,3.1249794448218147,4.1034572015698085,4.983537420253741,5.675518193230554,5.701012116218771,,,
G3M07,2.484709369645575,,3.9075772437123053,4.051201473457404,,,6.406940400854748,
G3M13,5.079696568487686,4.304329178570979,5.662221445797301,,,,5.258913297987436,
