Unnamed: 0,MB,glutamate,pyruvate,alanine,acetate,succinate,asparagine,leucine,glcnac,no
5F06,3.907616351028963,1.897399749570921,5.433029973778318,,3.3990694822482457,,,,,1.3390750819396875
5G01,5.917538251934662,2.1076674116811374,9.204215039118228,6.451354510549881,4.887486811005084,6.006415183737177,3.818982857359927,2.003424248496548,,
6C01,6.672983359630027,1.8395346874939664,2.0753550357928736,,3.7084047174776,,,,,
6D02,,,,,,5.135544880516089,,,,
6D03,8.758670978193742,0.5775115922224979,0.2488511903073366,5.4383388986417325,2.526912625934765,4.67215454859475,,,8.154938415957464,
6E01,7.523410037808777,0.9057514329428916,0.4163994092435693,3.1443973397646325,3.003026971812874,2.788884035151129,2.5459354297054206,,5.917238363582193,
6E02,9.510084564571576,5.563000732479426,0.1706678197822355,,1.7161051705692578,4.989808746675798,,,5.724283059344463,
6E03,8.598336666869638,0.3348330832044094,2.352006439036036,,2.194847634771197,3.750119227434229,,,4.688428250602343,
6G02,,,,,,,,,,
A1R05,6.571976701787892,,,,2.2720573447822767,,,,,
A1R06,14.384745626639884,4.103107307080919,5.898286116939532,,4.273527892310366,0.1504595454832057,,,,
A1R11,14.433344456705465,0.4284940367009626,0.0830339234351599,,4.617995681870203,5.6555639603881325,,,,
A2R01,8.269873957877369,4.047994766861297,4.284933849304365,4.147231846958265,,4.70234831087999,4.546463352085128,,,
A2R07,4.510991699455419,2.673007716842416,4.097461809393182,2.6121844257246467,3.965536962688657,3.387088543078861,3.2366400945323206,1.7914445020797518,,
A2R16,5.303461787479065,3.1708962348649106,3.738404522119186,5.17821816939005,4.758060539264839,4.334954094530556,3.965561701166756,,1.0484699284463244,
A3M17,4.87222792736197,1.7576334189733134,2.943927887015584,2.070790812589221,,2.439433026350968,,,1.6524301536509982,
A3R04,6.62005026945017,,,,,,,,0.1336113490950738,
A3R06,4.936293899453038,2.942463500523321,0.1358303550278063,2.813587922482772,2.798385687046976,3.318045279016736,,2.1922567846251284,2.850459393623343,
B1R08,5.617686755146986,3.9724726359581175,4.356200313027421,4.614163860103243,2.5421075300916134,4.202189444607846,,,,
B1R10,6.7188907175841575,,,,,,,,,
B1R15,0.3044097362086853,,,,,,,,,
B2M13,7.868204028656788,6.039747420597156,4.82601499581715,4.800972578651763,4.008817314072127,5.274660291060531,4.380794068657879,0.0020733143317797,,
B2M14,,,,7.610708070455207,2.694345221938349,,,,,
B2R04,5.588511096887028,2.725328447944171,3.1778100803321165,3.330592033623211,1.7313523660895804,3.5031421677454886,,2.0649752946464037,3.391168457986181,
B2R09,4.480092275278439,2.728771801142054,,,1.5940830050205186,2.685176330403741,1.852555118706131,,,
B2R22,3.689201603428073,2.790353445725418,,,,2.585231000865273,,,,
B3M03,4.155470066704993,2.4461947759853846,3.969048485510244,,,3.483765696418675,,,,
B3M18,4.371053878853281,0.2661342757859684,,2.2105446878275217,2.402920231184824,3.5313049574212187,,,,
B3R09,5.577656580223064,4.982352873827974,4.134461062450987,4.182257353820612,3.058466551300905,,2.941052044080722,3.8687412132828567,,
B3R10,5.952108133198606,,2.0227426256469605,,,,,,4.919420742151549,
B3R15,,,,,0.7857672736631124,,,,5.689456672763195,
C1R08,,,,2.5984356503790864,,,,0.0030991557216005,,
C2M04,,,,,,,,,5.626630011274185,
C2M19,,,4.067076460793845,2.4181205839862097,3.7328974259349,4.316994646798769,,,0.0590039092452283,
C2R07,,,3.907616351028973,,,0.0649667899836034,,,4.44512662962295,
C2R09,5.078315724560852,0.3810346612668822,3.1700720648802543,2.483348585904148,2.3296397878918294,,,,,
C2R11,,,,,,,,,,
